date,time,algorithm,structure,variant,repetitions,average_us,min_us,max_us
2026-04-12,15:41:43,quick,slist,middle,20,26136.8,23686,32975
2026-04-12,15:42:01,quick,slist,middle,20,841891,465587,1388212
2026-04-12,15:43:19,quick,slist,middle,20,3.66297e+06,1884159,5682688
2026-04-12,15:43:24,quick,dlist,middle,20,13372.9,12283,15930
2026-04-12,15:43:33,quick,dlist,middle,20,397558,218227,669789
2026-04-12,15:44:14,quick,dlist,middle,20,1.93716e+06,997552,3331800
2026-04-12,15:44:17,shell,array,option2,20,266.4,233,312
2026-04-12,15:44:17,shell,array,option2,20,1363.25,1303,1567
2026-04-12,15:44:17,shell,array,option2,20,3562.55,3016,4597
2026-04-12,15:44:49,shell,slist,option2,20,39568.7,23919,46462
2026-04-12,15:45:23,shell,slist,option2,20,1.63991e+06,886905,2444580
2026-04-12,15:47:56,shell,slist,option2,20,7.45597e+06,4317479,10337397
2026-04-12,15:48:00,shell,dlist,option2,20,23462.8,21750,27566
2026-04-12,15:48:17,shell,dlist,option2,20,853653,492311,1455400
2026-04-12,15:49:52,shell,dlist,option2,20,4.6169e+06,2606287,7064002
2026-04-12,15:49:55,bucket,array,-,20,262.6,223,406
2026-04-12,15:49:55,bucket,array,-,20,3660.05,3347,4584
2026-04-12,15:49:55,bucket,array,-,20,13885.6,13222,17624
2026-04-12,15:50:05,bucket,slist,-,20,3374.95,2926,4489
2026-04-12,15:50:08,bucket,slist,-,20,97458.6,45782,160841
2026-04-12,15:50:19,bucket,slist,-,20,347271,182871,596234
2026-04-12,15:50:23,bucket,dlist,-,20,1835.3,1626,2369
2026-04-12,15:50:25,bucket,dlist,-,20,51491.9,23694,72213
2026-04-12,15:50:31,bucket,dlist,-,20,200106,94839,336996
