date,time,algorithm,structure,variant,size,repetitions,data_type,distribution,pivot,shell_gap,average_us,min_us,max_us
2026-04-18,09:38:16,bucket,array,random,5000,30,int,undefined,undefined,undefined,3408.7,2044,4289
2026-04-18,09:38:17,bucket,array,random,12500,30,int,undefined,undefined,undefined,21715.7,19627,24719
2026-04-18,09:38:20,bucket,array,random,25000,30,int,undefined,undefined,undefined,83305.5,68676,98973
2026-04-18,09:38:29,bucket,array,random,50000,30,int,undefined,undefined,undefined,311703,265715,381336
2026-04-18,09:38:34,bucket,single_list,random,5000,30,int,undefined,undefined,undefined,99475.3,65701,134287
2026-04-18,09:39:01,bucket,single_list,random,12500,30,int,undefined,undefined,undefined,548090,392056,772180
2026-04-18,09:40:56,bucket,single_list,random,25000,30,int,undefined,undefined,undefined,2.33895e+06,1480866,3512825
2026-04-18,09:49:26,bucket,single_list,random,50000,30,int,undefined,undefined,undefined,1.0938e+07,4868606,68445946
2026-04-18,09:49:27,bucket,double_list,random,5000,30,int,undefined,undefined,undefined,30135.5,24395,36424
2026-04-18,09:49:40,bucket,double_list,random,12500,30,int,undefined,undefined,undefined,266786,156712,405361
2026-04-18,09:50:39,bucket,double_list,random,25000,30,int,undefined,undefined,undefined,1.20662e+06,756452,1888726
2026-04-18,09:56:51,bucket,double_list,random,50000,30,int,undefined,undefined,undefined,8.8748e+06,2958496,78606814
2026-04-18,09:56:51,quick,array,middle,5000,30,int,undefined,undefined,undefined,665.367,499,756
2026-04-18,09:56:51,quick,array,middle,12500,30,int,undefined,undefined,undefined,2141.33,2061,2220
2026-04-18,09:56:51,quick,array,middle,25000,30,int,undefined,undefined,undefined,4741.23,4404,5149
2026-04-18,09:56:51,quick,array,middle,50000,30,int,undefined,undefined,undefined,9425.57,6748,10489
2026-04-18,09:57:15,quick,single_list,middle,5000,30,int,undefined,undefined,undefined,738478,484532,1073362
2026-04-18,10:03:50,quick,single_list,middle,12500,30,int,undefined,undefined,undefined,1.23387e+07,4604096,92896650
2026-04-18,10:20:58,quick,single_list,middle,25000,30,int,undefined,undefined,undefined,3.19133e+07,13761017,132520576
2026-04-18,11:16:21,quick,single_list,middle,50000,30,int,undefined,undefined,undefined,1.05324e+08,62863034,177122071
2026-04-18,11:16:32,quick,double_list,middle,5000,30,int,undefined,undefined,undefined,344783,219172,633530
2026-04-18,11:17:53,quick,double_list,middle,12500,30,int,undefined,undefined,undefined,2.53694e+06,1728028,4052957
2026-04-18,11:23:30,quick,double_list,middle,25000,30,int,undefined,undefined,undefined,1.06842e+07,6943279,15673479
2026-04-18,11:47:39,quick,double_list,middle,50000,30,int,undefined,undefined,undefined,4.57839e+07,29360623,62411143
2026-04-18,11:47:39,shell,array,option1,5000,30,int,undefined,undefined,undefined,909.033,818,1926
2026-04-18,11:47:39,shell,array,option1,12500,30,int,undefined,undefined,undefined,2717.83,2575,2850
2026-04-18,11:47:39,shell,array,option1,25000,30,int,undefined,undefined,undefined,6141.03,5898,6579
2026-04-18,11:47:40,shell,array,option1,50000,30,int,undefined,undefined,undefined,13747.5,13318,14297
2026-04-18,11:48:33,shell,single_list,option1,5000,30,int,undefined,undefined,undefined,1.70797e+06,955653,2862784
2026-04-18,11:56:21,shell,single_list,option1,12500,30,int,undefined,undefined,undefined,1.52693e+07,9232052,17964414
2026-04-18,12:29:10,shell,single_list,option1,25000,30,int,undefined,undefined,undefined,6.43298e+07,39333447,90526003
2026-04-18,14:43:32,shell,single_list,option1,50000,30,int,undefined,undefined,undefined,2.6414e+08,160243414,410815293
2026-04-18,14:43:53,shell,double_list,option1,5000,30,int,undefined,undefined,undefined,670137,507876,847023
2026-04-18,14:46:57,shell,double_list,option1,12500,30,int,undefined,undefined,undefined,6.01577e+06,4118453,7344915
2026-04-18,15:00:33,shell,double_list,option1,25000,30,int,undefined,undefined,undefined,2.66765e+07,18538871,35422025
2026-04-18,16:03:45,shell,double_list,option1,50000,30,int,undefined,undefined,undefined,1.24396e+08,84543638,169391988
