date,time,algorithm,structure,variant,size,repetitions,data_type,distribution,pivot,shell_gap,average_us,min_us,max_us
2026-04-18,16:03:45,quick,array,random,25000,30,int,random,undefined,undefined,3107.97,2912,4020
2026-04-18,16:03:46,quick,array,descending,25000,30,int,descending,undefined,undefined,880.367,816,1002
2026-04-18,16:03:46,quick,array,ascending,25000,30,int,ascending,undefined,undefined,789,745,826
2026-04-18,16:03:46,quick,array,ascending50Per,25000,30,int,ascending50Per,undefined,undefined,2403.43,2296,2612
2026-04-18,16:14:06,quick,single_list,random,25000,30,int,random,undefined,undefined,1.95723e+07,12412040,28015216
2026-04-18,16:20:20,quick,single_list,descending,25000,30,int,descending,undefined,undefined,1.12795e+07,7240819,15754104
2026-04-18,16:25:49,quick,single_list,ascending,25000,30,int,ascending,undefined,undefined,9.83436e+06,6446137,13251700
2026-04-18,16:35:42,quick,single_list,ascending50Per,25000,30,int,ascending50Per,undefined,undefined,1.86125e+07,11898155,25980677
2026-04-18,16:41:06,quick,double_list,random,25000,30,int,random,undefined,undefined,1.0203e+07,7221518,14462431
2026-04-18,16:44:05,quick,double_list,descending,25000,30,int,descending,undefined,undefined,5.41687e+06,3744012,7490147
2026-04-18,16:46:39,quick,double_list,ascending,25000,30,int,ascending,undefined,undefined,4.60699e+06,3314202,5963733
2026-04-18,16:51:31,quick,double_list,ascending50Per,25000,30,int,ascending50Per,undefined,undefined,9.16823e+06,6363940,12593156
